Old Menu Name,change to Menu Name,Sub Menu Name,Menu Link,Main Database,Menu Image,Pathname,Role
ล็อคอิน,signin,,/signin,,,/src/app/(auth)/signin/page.tsx,
,,,,,,,
จัดการรถ,ระบบจัดการรถยนต์,,/cars,cars,,/src/app/(dashboard)/cars/page.tsx,All
,,"ปุม Speed Dial Button
1. เป็น Button อยู่มุมขวาล่างล็อคตามหน้าจอ
2. เมื่อกดแล้วจะมี popup ขึ้นมาเรียกว่า speed dial มี 4 รายการ เมื่อกดรายการดังกล่าวจะเป็น model  ออกมา
3. จะประกอบไปด้วยเมนู (1.สร้างรถ, 2.สร้างประเภทรถ, 3.สร้างแบรนด์รถ, 4. สร้างการบำรุงรักษารถ)
3.1 สร้างรถ (table name cars)
3.2 สร้างประเภทรถ (table name vehicle_type)
3.3 สร้างแบรนด์รถ (table name brand)
3.4 สร้างการบำรุงรักษารถ (table name maintenances)
",/cars,cars,,/src/app/(dashboard)/cars/page.tsx,All
,,"ลิ้งไปหน้าแก้ไขรถ
1. เป็นการแก้ไขของแต่ละรายการ
2. แบ่งเป็น 3 ส่วน 
2.1 ส่วนบนรูปภาพของรถเแสดงป็นสไลรูปภาพหรือ Carousel (table name map_cars_images)
2.2 ส่วนกลางข้อมูลของรถแสดงเป็นกล่องข้อความหรือ inputbox (table name cars)
2.3 ส่วนล่างข้อมูลของการบำรุงรักษาแสดงเป็นตารางหรือ table ข้อมูลในตารางสามารถแก้ไขและลบได้ (table name maintenances)
 ",/cars/[id],cars,,/src/app/(dashboard)/cars/[id]/page.tsx,All
,,ไอคอนลบข้อมูลของแต่ละบรรทัด solf delete by is_delete,/cars,cars,,/src/app/(dashboard)/cars/page.tsx,"Admin, Manager,"
,,,,,,,
ข้อมูลลูกค้า,ข้อมูลลูกค้า,,/driver,driver,,/src/app/(dashboard)/driver/page.tsx,All
,,"ปุ่มสร้างข้อมูล
1. เป็น Button อยู่มุมขวาล่างล็อคตามหน้าจอ
2. เมื่อกดแล้วจะมี popup ขึ้นมาจะเป็น model  ออกมาแสดงข้อมูลการสร้างข้อมูล
",/driver,driver,,/src/app/(dashboard)/driver/page.tsx,All
,,"ไอคอนแก้ไขข้อมูล
1. กด icon จากตารางแล้ว popup ขึ้นมาจะเป็น model  ออกมาแสดงข้อมูล
",/driver,driver,,/src/app/(dashboard)/driver/page.tsx,All
,,ไอคอนลบข้อมูลของแต่ละบรรทัด solf delete by is_delete,/driver,driver,,/src/app/(dashboard)/driver/page.tsx,"Admin, Manager,"
,,,,,,,
ข้อมูลบริการ,ข้อมูลบริการ/โปรโมชั่น,,/products,products,,/src/app/(dashboard)/products/page.tsx,All
,,"ปุ่มสร้างข้อมูล
1. เป็น Button อยู่มุมขวาล่างล็อคตามหน้าจอ
2. เมื่อกดแล้วจะมี popup ขึ้นมาจะเป็น model  ออกมาแสดงข้อมูลการสร้างข้อมูล
",/products,products,,/src/app/(dashboard)/products/page.tsx,All
,,"ไอคอนแก้ไขข้อมูล
1. กด icon จากตารางแล้ว popup ขึ้นมาจะเป็น model  ออกมาแสดงข้อมูล
",/products,products,,/src/app/(dashboard)/products/page.tsx,All
,,ไอคอนลบข้อมูลของแต่ละบรรทัด solf delete by is_delete,/products,products,,/src/app/(dashboard)/products/page.tsx,"Admin, Manager,"
,,,,,,,
บันทึกรายการ,บันทึกรายการเช่ารถ,,/booking,booking,,/src/app/(dashboard)/booking/page.tsx,All
,,"ปุ่มสร้างข้อมูล
1. เป็น Button อยู่มุมขวาล่างล็อคตามหน้าจอ
2. เมื่อกดแล้วจะมี popup ขึ้นมาจะเป็น model  ออกมาแสดงข้อมูลการสร้างข้อมูล
3. เมื่อกดเลือกรถแล้วจะตั้งชื่อ booking_name = Join: cars_license + cars_model + cars_years ไว้บนหัวข้อและ booking_name จะแสดงอยู่ในตาราง
",/booking,booking,,/src/app/(dashboard)/booking/page.tsx,All
,,"ไอคอนแก้ไขข้อมูล
1. กด icon จากตารางแล้ว popup ขึ้นมาจะเป็น model ออกมาแสดงข้อมูล
2. ใน model นี้สามารถออก pdf ได้
",/booking,booking,,/src/app/(dashboard)/booking/page.tsx,All
,,"ไอคอนแสดงข้อมูล / view
1. กดที่ชื่อ หรือกดที่ icon จากตารางแล้ว popup ขึ้นมาจะเป็น model ออกมาแสดงข้อมูล
2. ใน model นี้สามารถออกเอกสาร pdf ได้ดังนี้
2.1 เอกสารตรวจรับรถก่อนส่งมอบ
2.2 เอกสารสัญญาค่าบริการ
2.3 เอกสารการรับเงิน/มัดจำ
",/booking,booking,,/src/app/(dashboard)/booking/page.tsx,All
,,ไอคอนลบข้อมูลของแต่ละบรรทัด solf delete by is_delete,/booking,booking,,/src/app/(dashboard)/booking/page.tsx,"Admin, Manager,"
,,,,,,,
รายงาน,Dashboard,ภาพรวมระบบเช่ารถ,/dashboard,dashboard,,/src/app/(dashboard)/dashboard/page.tsx,"Admin, Manager,"
,,"ภาพรวม
1. ระบุรายได้ต่างๆ
2. แสดงรายการเช่าล่าสุดระบุราคาต่างๆ
3. สามารถ filter ได้
",/dashboard,dashboard,,/src/app/(dashboard)/dashboard/page.tsx,"Admin, Manager,"
,,"รายงาน
1. แสดงกราฟรายได้รายต่อเดือนหรือเดือนต่างๆ
2. แสดงกราฟสถานะการเช่าหรือสถานะต่างๆ
3. แสดงกราฟการใช้งานรถ
",/dashboard,dashboard,,/src/app/(dashboard)/dashboard/page.tsx,"Admin, Manager,"
,,,,,,,
,การชำระเงิน,*สร้างไว้แต่ยังไม่แสดงที่หน้าเว็บและยังไม่นำไปเชื่อมต่อกับอะไรทั้งนั้น,/payments,payments,,/src/app/(dashboard)/payments/page.tsx,All
,,,,,,,
ตั้งค่า,ตั้งค่าระบบ,,,,,,
,,"ผู้ใช้และสิทธิ์
",/setting/users,user,,/src/app/(dashboard)/setting/users/page.tsx,"Admin, Manager,"
